title,release_year,duration_min,primary_genre,imdb_score,num_voted_users
My Sister's Keeper,2009,109.0,Dramas,7.4,74476
My Week with Marilyn,2011,99.0,Dramas,7.0,71679
Nacho Libre,2006,92.0,Comedies,5.7,65551
National Treasure,2004,131.0,Action & Adventure,6.9,255447
New York Minute,2004,91.0,Children & Family Movies,4.8,17722
Nightcrawler,2014,118.0,Dramas,7.9,293304
No Reservations,2007,104.0,Comedies,6.3,59068
Nowhere Boy,2009,99.0,Dramas,7.2,29019
Obvious Child,2014,84.0,Comedies,6.8,16594
Ocean's Thirteen,2007,122.0,Action & Adventure,6.9,256928
Ocean's Twelve,2004,125.0,Action & Adventure,6.4,284852
Once Upon a Time in the West,1968,166.0,Action & Adventure,8.6,216005
One Direction: This Is Us,2013,92.0,Documentaries,4.1,22161
Only God Forgives,2013,90.0,Cult Movies,5.7,83234
Open Season,2006,86.0,Children & Family Movies,6.2,65270
Operation Chromite,2016,111.0,Action & Adventure,6.8,90
P.S. I Love You,2007,126.0,Dramas,7.1,167967
Panic Room,2002,112.0,Thrillers,6.8,206104
Paranormal Activity,2007,86.0,Horror Movies,6.3,184824
Patriot Games,1992,117.0,Action & Adventure,6.9,81442
Paul Blart: Mall Cop,2009,91.0,Action & Adventure,5.2,84209
Philadelphia,1993,126.0,Classic Movies,7.7,178731
Platoon,1986,120.0,Action & Adventure,8.1,291603
Pulp Fiction,1994,154.0,Classic Movies,8.9,1324680
Quantum of Solace,2008,106.0,Action & Adventure,6.7,330784
Race to Witch Mountain,2009,99.0,Children & Family Movies,5.7,43328
Rachel Getting Married,2008,113.0,Dramas,6.7,41226
Raging Bull,1980,129.0,Classic Movies,8.3,235133
Red Dawn,1984,114.0,Action & Adventure,6.4,41776
Remember Me,2010,112.0,Dramas,7.2,113963
Resident Evil: Afterlife,2010,97.0,Action & Adventure,5.9,131447
Revolutionary Road,2008,120.0,Dramas,7.3,152591
Righteous Kill,2008,101.0,Dramas,6.0,73368
Rocky,1976,120.0,Action & Adventure,8.1,375240
Room,2015,118.0,Dramas,8.3,161288
Rosemary's Baby,1968,137.0,Classic Movies,8.0,140527
Rounders,1998,121.0,Dramas,7.4,121676
Rumble in the Bronx,1995,89.0,Action & Adventure,6.7,29843
Runaway Bride,1999,116.0,Comedies,5.5,74274
S.W.A.T.,2003,117.0,Action & Adventure,6.0,119807
Safety Not Guaranteed,2012,86.0,Comedies,7.0,101287
Sarah's Key,2010,102.0,Dramas,7.5,12937
Sardaar ji,2015,140.0,Comedies,6.6,745
Saving Mr. Banks,2013,126.0,Comedies,7.5,117719
Scary Movie 5,2013,88.0,Comedies,3.5,50337
Schindler's List,1993,195.0,Classic Movies,8.9,865020
School Daze,1988,120.0,Comedies,5.8,4756
Scott Pilgrim vs. the World,2010,112.0,Action & Adventure,7.5,273921
Scream 2,1997,121.0,Horror Movies,6.1,124941
Scream 3,2000,117.0,Horror Movies,5.5,98535
Secret in Their Eyes,2015,111.0,Dramas,6.2,20186
Sex and the City 2,2010,146.0,Comedies,4.3,59581
Sherlock Holmes,2009,128.0,Action & Adventure,7.6,477300
Shorts,2009,89.0,Children & Family Movies,4.9,5332
Skin Trade,2014,96.0,Action & Adventure,5.7,5228
Skyline,2010,94.0,Action & Adventure,4.4,76199
Sleepover,2004,89.0,Comedies,5.3,12706
Sling Blade,1996,135.0,Dramas,8.0,72443
Slow West,2015,84.0,Action & Adventure,6.9,27650
Small Soldiers,1998,110.0,Action & Adventure,6.1,77415
Something's Gotta Give,2003,128.0,Comedies,6.7,91092
Soul Surfer,2011,106.0,Dramas,7.1,35514
Spider-Man 3,2007,139.0,Action & Adventure,6.2,383056
Spider-Man 3,2007,139.0,Action & Adventure,6.2,383071
Spotlight,2015,129.0,Dramas,8.1,195333
Spring Breakers,2012,94.0,Comedies,5.3,108683
Spy Kids,2001,88.0,Children & Family Movies,5.4,84325
Step Brothers,2008,98.0,Comedies,6.9,212499
Stranger than Fiction,2006,113.0,Comedies,7.6,186977
Stripes,1981,106.0,Classic Movies,6.9,48629
Striptease,1996,117.0,Comedies,4.3,34896
Stuart Little 2,2002,78.0,Children & Family Movies,5.4,36471
Superbad,2007,113.0,Comedies,7.6,422606
Superman Returns,2006,154.0,Action & Adventure,6.1,240396
Superstar,1999,82.0,Comedies,5.0,15047
Take Me Home Tonight,2011,97.0,Comedies,6.3,43867
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,88.0,Children & Family Movies,6.0,42765
Terminator 3: Rise of the Machines,2003,109.0,Action & Adventure,6.4,305340
Terminator Salvation,2009,115.0,Action & Adventure,6.6,286095
The Adventures of Tintin,2011,107.0,Children & Family Movies,7.4,177383
The American President,1995,113.0,Comedies,6.8,43027
The Amityville Horror,2005,89.0,Horror Movies,6.0,80903
The Art of War,2000,117.0,Action & Adventure,5.7,25346
The Book of Eli,2010,118.0,Action & Adventure,6.9,227072
The Bounty Hunter,2010,111.0,Action & Adventure,5.5,96565
The Box,2009,116.0,Sci-Fi & Fantasy,5.6,76303
The Boy,2016,97.0,Horror Movies,6.0,35654
The Boy in the Striped Pajamas,2008,95.0,Dramas,7.8,132386
The Break-Up,2006,107.0,Comedies,5.8,102167
The Brothers Grimm,2005,119.0,Action & Adventure,5.9,98472
The Bucket List,2007,97.0,Comedies,7.4,184795
The Christmas Candle,2013,100.0,Dramas,5.8,844
The Craft,1996,101.0,Horror Movies,6.2,57140
The Croods,2013,99.0,Children & Family Movies,7.3,150618
The Crow,1994,102.0,Action & Adventure,7.6,136580
The Crying Game,1992,112.0,Classic Movies,7.3,41361
The Departed,2006,151.0,Dramas,8.5,873649
The Devil Inside,2012,84.0,Horror Movies,4.2,30570
The Dukes of Hazzard,2005,104.0,Action & Adventure,5.1,66382
The Evil Dead,1981,85.0,Classic Movies,7.6,141219
The Fighter,2010,116.0,Dramas,7.9,275869
The Final Destination,2009,82.0,Horror Movies,5.2,75345
The First Wives Club,1996,103.0,Comedies,6.2,31817
The Flintstones,1994,91.0,Children & Family Movies,4.8,60884
The Flintstones in Viva Rock Vegas,2000,91.0,Children & Family Movies,3.6,15517
The Forbidden Kingdom,2008,104.0,Action & Adventure,6.6,88049
The Frozen Ground,2013,106.0,Dramas,6.4,43879
The Girl with the Dragon Tattoo,2011,158.0,Dramas,7.8,330152
"The Goods: Live Hard, Sell Hard",2009,89.0,Comedies,5.8,17790
The Great Raid,2005,133.0,Action & Adventure,6.7,18209
The Green Hornet,2011,119.0,Action & Adventure,5.8,136019
The Haunting of Molly Hartley,2008,85.0,Horror Movies,3.8,7904
The Help,2011,147.0,Dramas,8.1,318955
The Hundred-Foot Journey,2014,123.0,Comedies,7.3,52894
The Imaginarium of Doctor Parnassus,2009,123.0,Action & Adventure,6.8,126307
The Indian in the Cupboard,1995,96.0,Children & Family Movies,5.9,20688
The Informant!,2009,108.0,Comedies,6.5,52888
The Invention of Lying,2009,99.0,Comedies,6.4,94292
The Iron Lady,2011,105.0,Dramas,6.4,82327
The King's Speech,2010,118.0,Dramas,8.0,503631
The Lake House,2006,98.0,Dramas,6.8,114321
The Last Exorcism,2010,88.0,Horror Movies,5.6,41509
The Little Prince,2015,107.0,Children & Family Movies,7.8,28276
The Lives of Others,2006,138.0,Dramas,8.5,259379
The Longshots,2008,95.0,Comedies,5.1,3174
The Lord of the Rings: The Return of the King,2003,201.0,Action & Adventure,8.9,1215718
The Lord of the Rings: The Two Towers,2002,179.0,Action & Adventure,8.7,1100446
The Love Guru,2008,87.0,Comedies,3.8,43300
The Mask of Zorro,1998,138.0,Action & Adventure,6.7,135404
The Matrix,1999,136.0,Action & Adventure,8.7,1217752
The Matrix Reloaded,2003,138.0,Action & Adventure,7.2,421818
The Matrix Revolutions,2003,129.0,Action & Adventure,6.7,364948
The Men Who Stare at Goats,2009,94.0,Comedies,6.2,109620
The Muppets,2011,104.0,Children & Family Movies,7.1,75176
The Other Guys,2010,108.0,Action & Adventure,6.7,189806
The Peacemaker,1997,124.0,Action & Adventure,5.9,46451
The Pelican Brief,1993,141.0,Dramas,6.5,59569
The Perks of Being a Wallflower,2012,103.0,Comedies,8.0,351274
The Phantom of the Opera,2004,141.0,Dramas,7.4,96654
The Pink Panther,2006,93.0,Children & Family Movies,5.6,65499
The Pirates! Band of Misfits,2012,88.0,Children & Family Movies,6.7,36877
The Place Beyond the Pines,2012,140.0,Dramas,7.3,187170
The Polar Express,2004,100.0,Children & Family Movies,6.6,120798
The Prince,2014,91.0,Action & Adventure,4.6,13133
The Princess and the Frog,2009,98.0,Children & Family Movies,7.1,89351
The Pursuit of Happyness,2006,117.0,Dramas,8.0,338383
The Rainmaker,1997,136.0,Dramas,7.1,46221
The River Wild,1994,111.0,Action & Adventure,6.3,32544
The Roommate,2011,91.0,Thrillers,4.8,29147
The Score,2001,124.0,Dramas,6.8,101899
The Signal,2014,97.0,Sci-Fi & Fantasy,6.1,48236
The Social Network,2010,121.0,Dramas,7.7,479453
The Spectacular Now,2013,95.0,Dramas,7.1,105591
The Spy Next Door,2010,94.0,Action & Adventure,5.4,29971
The Talented Mr. Ripley,1999,139.0,Dramas,7.3,137891
The Time Machine,2002,96.0,Action & Adventure,5.9,103787
The Time Traveler's Wife,2009,107.0,Dramas,7.1,114925
The Tuxedo,2002,99.0,Action & Adventure,5.3,61966
The Ugly Truth,2009,96.0,Comedies,6.5,163665
The Vatican Tapes,2015,91.0,Horror Movies,4.5,7199
The Water Diviner,2014,111.0,Dramas,7.1,53341
The Waterboy,1998,90.0,Comedies,6.1,119450
The Witch,2015,92.0,Horror Movies,6.8,66483
The World Is Not Enough,1999,128.0,Action & Adventure,6.4,157519
Tomorrow Never Dies,1997,119.0,Action & Adventure,6.5,149680
Trainspotting,1996,94.0,Comedies,8.2,469561
Transcendence,2014,119.0,Sci-Fi & Fantasy,6.3,172707
Trash,2014,114.0,Dramas,7.2,14437
Tremors,1990,96.0,Comedies,7.1,90070
Turbo,2013,96.0,Children & Family Movies,6.5,62424
Tusk,2014,102.0,Horror Movies,5.4,31089
Two Lovers and a Bear,2016,95.0,Dramas,7.2,33
Unaccompanied Minors,2006,90.0,Children & Family Movies,5.1,8398
Under The Skin,2013,108.0,Dramas,6.3,85022
Up in the Air,2009,110.0,Comedies,7.4,270238
V for Vendetta,2005,132.0,Action & Adventure,8.2,791783
Vantage Point,2008,90.0,Action & Adventure,6.6,127528
Waiting...,2005,94.0,Comedies,6.8,76467
War,2007,103.0,Action & Adventure,6.3,72673
War Horse,2011,147.0,Dramas,7.2,116159
We Are Your Friends,2015,96.0,Dramas,6.1,20885
What Lies Beneath,2000,130.0,Horror Movies,6.6,98403
Wild Wild West,1999,106.0,Action & Adventure,4.8,129601
Willy Wonka & the Chocolate Factory,1971,100.0,Children & Family Movies,7.8,128334
Winter's Bone,2010,100.0,Dramas,7.2,111658
Wish I Was Here,2014,106.0,Comedies,6.7,29341
World Trade Center,2006,129.0,Action & Adventure,6.0,67395
Wyatt Earp,1994,191.0,Action & Adventure,6.6,35314
XXx,2002,124.0,Action & Adventure,5.8,142569
XXX: State of the Union,2005,101.0,Action & Adventure,4.3,51349
Y Tu Mamá También,2001,106.0,Dramas,7.7,91377
Yoga Hosers,2016,88.0,Comedies,4.8,849
You Don't Mess with the Zohan,2008,113.0,Action & Adventure,5.5,156348
Young Adult,2011,94.0,Comedies,6.3,64682
Zodiac,2007,158.0,Cult Movies,7.7,301279
Zombieland,2009,88.0,Comedies,7.7,386217
Zoom,2006,88.0,Children & Family Movies,4.2,15015
