Model,RMSE,MAE,R2
Linear Regression,0.7886734830717198,0.6104610865343716,0.3047965576464504
Ridge Regression,0.7886157763495151,0.6103461476197468,0.30489828908559236
Random Forest,0.7553121368507687,0.5706037037037044,0.362367621396287
Gradient Boosting,0.7797237262235199,0.575588579898752,0.32048517724507364
